"","leadGram","gram","Record"
"44941","the name","of",62
"47683","to find","a",62
"4194","i would","be",61
"6616","i think","the",61
"9233","were going","to",61
"17774","i am","so",61
"17975","has to","be",61
"22192","bit of","a",61
"25980","had to","be",61
"5062","a way","to",60
"8319","to see","if",60
"8860","we have","to",60
"11502","i needed","to",60
"15152","the time","i",60
"19441","and a","half",60
"21221","what to","do",60
"26310","we had","to",60
"35917","am going","to",60
"56835","used to","be",60
"1029","i had","been",59
"4172","out of","my",59
"4311","in terms","of",59
"6702","i thought","i",59
"6914","go back","to",59
"7089","the beginning","of",59
"7516","it in","the",59
"8215","the only","thing",59
"8420","at a","time",59
"21048","of the","best",59
"22453","front of","the",59
"26871","we have","been",59
"30440","to be","able",59
"34158","have been","a",59
"1070","for the","last",58
"2104","i think","its",58
"11494","it was","just",58
"19994","it to","the",58
"70393","know how","to",58
"894","in other","words",57
"1880","a few","weeks",57
"2159","and then","i",57
"7697","one of","them",57
"11342","a few","years",57
"15600","dont know","what",57
"30417","a few","minutes",57
"50536","and that","is",57
"2136","as it","is",56
"9077","have no","idea",56
"37225","you have","a",56
"6877","that they","are",55
"7419","the bottom","of",55
"9662","that is","the",55
"9766","the back","of",55
"11321","in the","us",55
"13498","i have","had",55
"15294","the other","day",55
"16573","a lot","more",55
"53028","and of","course",55
"4624","this was","a",54
"7944","one of","these",54
"8973","i got","to",54
"13898","at one","point",54
"13998","is a","good",54
"18724","but i","think",54
"25348","and this","is",54
"26759","i had","the",54
"50990","top of","the",54
"51960","according to","the",54
"39","to see","what",53
"1126","there are","some",53
"2698","more of","a",53
"4583","its hard","to",53
"8448","i didnt","have",53
"9097","to figure","out",53
"11796","of all","the",53
"13477","look at","the",53
"15649","to me","that",53
"33710","i like","to",53
"37263","that would","be",53
"48805","it was","so",53
"69804","by the","way",53
"91181","i ended","up",53
"844","over the","past",52
"2414","no matter","what",52
"14251","had no","idea",52
"26074","will have","to",52
"41351","back in","the",52
"1793","on the","way",51
"5957","in this","case",51
"6893","to find","out",51
"9484","some of","my",51
"9902","the only","one",51
"20664","what it","is",51
"27422","get out","of",51
"31981","trying to","get",51
"73080","the way","i",51
"3250","the opportunity","to",50
"7432","as you","can",50
"9644","in addition","to",50
"13429","i would","like",50
"20918","not want","to",50
"23509","i was","not",50
"28566","to the","point",50
"28714","i have","ever",50
"52335","i could","not",50
"70946","and i","were",50
"97779","as it","was",50
"2473","this was","the",49
"7552","what i","was",49
"8857","that we","have",49
"9118","that we","are",49
"10216","if i","had",49
"11000","on the","floor",49
"11961","and in","the",49
"13380","he had","a",49
"14844","that he","is",49
"14928","there will","be",49
"16437","to try","and",49
"24100","take care","of",49
"25830","down to","the",49
"31493","i have","never",49
"32013","when he","was",49
"34302","in the","way",49
"35611","for the","next",49
"55231","would have","to",49
"65377","needs to","be",49
"67597","at the","top",49
"78633","to do","the",49
"98613","i told","him",49
"121","but i","have",48
"312","can be","a",48
"1525","to take","the",48
"7255","for those","who",48
"7528","away from","the",48
"7962","to do","so",48
"9595","going to","get",48
"11368","to try","to",48
"15598","being able","to",48
"16460","to use","the",48
"16745","a bit","more",48
"43427","told me","that",48
"28","to do","this",47
"2383","for me","and",47
"8874","i started","to",47
"9866","will be","a",47
"11329","to see","how",47
"12377","more and","more",47
"13526","that i","could",47
"13703","of my","favorite",47
"17950","all the","way",47
"24502","i woke","up",47
"43739","the story","of",47
"46030","out in","the",47
"63292","in my","mind",47
"117155","is a","very",47
"874","to look","at",46
"1026","first time","i",46
"3893","at some","point",46
"4178","but i","do",46
"6920","to go","back",46
"9205","the same","way",46
"9825","when you","are",46
"10837","was trying","to",46
"11032","a piece","of",46
"13221","and they","are",46
"13760","in new","york",46
"14195","it can","be",46
"15162","is that","i",46
"16716","at the","moment",46
"27509","that she","was",46
"29907","because it","is",46
"29917","my husband","and",46
"46483","i have","always",46
"51749","i told","her",46
"64430","it is","to",46
"150014","that i","dont",46
"188","have to","say",45
"3713","to talk","to",45
"4625","to be","honest",45
"7288","much as","i",45
"9487","he told","me",45
"10166","i know","it",45
"12602","no matter","how",45
"15009","of the","first",45
"15637","the same","thing",45
"16523","there are","many",45
"17211","and we","were",45
"17862","of the","things",45
"20700","you dont","have",45
"22012","which is","a",45
"25591","is the","only",45
"25802","i thought","it",45
"27427","to get","out",45
"30291","for the","rest",45
"42567","have to","go",45
"48783","to create","a",45
"2850","i knew","that",44
"5028","she was","a",44
"7897","been able","to",44
"8119","going to","have",44
"8322","because i","was",44
"10210","was on","the",44
"11631","the amount","of",44
"14172","i love","the",44
"17557","is not","the",44
"18800","get to","the",44
"27446","it was","not",44
"31486","dont know","how",44
"33132","the importance","of",44
"37327","there are","no",44
"41801","the time","to",44
"46928","the ability","to",44
"64303","i believe","that",44
"72271","we are","not",44
"98229","a group","of",44
"85","the process","of",43
"1634","of the","story",43
"2399","much of","the",43
"4513","to be","an",43
"6960","but i","didnt",43
"9177","to have","the",43
"14555","look forward","to",43
"16246","for us","to",43
"17238","it is","also",43
"20995","is also","a",43
"21104","say that","i",43
"23964","of the","same",43
"29296","the people","who",43
"32981","you know","that",43
"39428","of the","people",43
"44377","of the","book",43
"52150","by the","end",43
"63119","in the","car",43
"87126","and there","is",43
"79","in the","process",42
"378","a few","months",42
"1746","turned out","to",42
"4164","while i","was",42
"4426","needless to","say",42
"6515","for some","reason",42
"7819","the point","of",42
"9492","one of","his",42
"11046","because it","was",42
"17755","he has","a",42
"17889","so i","was",42
"18562","the age","of",42
"20093","that there","are",42
"24202","up on","the",42
"26694","the things","that",42
"30520","over the","years",42
"33245","come up","with",42
"40693","is a","great",42
"43294","is what","i",42
"44677","this is","what",42
"65869","it was","time",42
"1150","to do","something",41
"4029","i can","see",41
"4118","is the","first",41
"7327","and he","is",41
"7550","to talk","about",41
"9377","this kind","of",41
"9812","the best","of",41
"10689","dont know","if",41
"12186","and the","other",41
"12269","to find","the",41
"16232","and i","will",41
"17618","some kind","of",41
"22575","for the","most",41
"23150","in a","way",41
"23261","to work","with",41
"24710","a matter","of",41
"25073","is the","most",41
"25079","the most","important",41
"27256","i got","a",41
"29528","of course","the",41
"31378","id like","to",41
"33227","that was","the",41
"37603","with all","the",41
"40222","the world","of",41
"57772","on to","the",41
"58895","when it","was",41
"59774","is a","lot",41
"81273","to go","with",41
"84763","me in","the",41
"96359","if it","is",41
"174526","gave me","a",41
"1556","all of","these",40
"3377","if there","is",40
"3686","when i","got",40
"4210","i guess","i",40
"4893","whether or","not",40
"8334","a pair","of",40
"8811","in the","house",40
"10950","and she","was",40
"12623","on the","road",40
"12689","a hard","time",40
"15361","thought it","was",40
"20053","in the","uk",40
"20550","the number","of",40
"20660","may not","be",40
"23007","that is","what",40
"26534","due to","the",40
"28313","people in","the",40
"34380","and then","the",40
"37676","i still","have",40
"42295","i didnt","want",40
"45943","the use","of",40
"48602","and there","was",40
"51521","i have","seen",40
"51998","they are","not",40
"58375","there would","be",40
"59883","we want","to",40
"69817","the way","the",40
"75777","was supposed","to",40
"78838","will be","the",40
"121380","were able","to",40
"2456","know that","i",39
"3228","around the","world",39
"7743","middle of","the",39
"8093","it should","be",39
"8695","of you","who",39
"8698","those of","you",39
"9431","what i","have",39
"10018","it to","be",39
"14474","we decided","to",39
"15623","to do","a",39
"15818","a series","of",39
"15881","i realized","that",39
"16412","the midst","of",39
"16535","the lack","of",39
"16851","no idea","what",39
"16977","looking forward","to",39
"17506","was the","only",39
"17679","to say","i",39
"19347","half of","the",39
"21580","i just","dont",39
"24784","some sort","of",39
"25207","that they","were",39
"28978","when we","were",39
"34334","i began","to",39
"38153","would be","the",39
"39247","of course","i",39
"56007","and all","the",39
"60317","to think","about",39
"60461","seemed to","be",39
"61883","the last","few",39
"65433","this is","why",39
"73205","the first","place",39
"76293","that is","not",39
"96807","this is","one",39
"1061","of the","film",38
"1949","up for","the",38
"2390","me and","my",38
"5986","cant wait","to",38
"7621","the history","of",38
"9763","in the","back",38
"10617","as i","have",38
"11104","or at","least",38
"11521","that you","can",38
"14006","to believe","that",38
"14259","and had","a",38
"15020","i wish","i",38
"15041","decided to","go",38
"16058","in such","a",38
"17237","is that","it",38
"18434","a variety","of",38
"20455","i can","do",38
"20911","but in","the",38
"26230","could have","been",38
"26429","if it","was",38
"31009","bottom of","the",38
"32113","and that","was",38
"34510","want to","go",38
"36790","as part","of",38
"59982","a picture","of",38
"62757","to see","that",38
"66735","the need","to",38
"73495","the last","time",38
"82083","this is","an",38
"85832","based on","the",38
"93018","has always","been",38
"166251","that is","a",38
"3382","to tell","you",37
"4687","she told","me",37
"5989","i cant","wait",37
"13513","the time","and",37
"14971","just a","little",37
"15570","we will","be",37
"15624","wanted to","do",37
"16404","in the","midst",37
"17956","the way","to",37
"19107","and there","are",37
"19630","back and","forth",37
"19989","to keep","the",37
"22443","is to","be",37
"22581","the most","part",37
"23918","want to","know",37
"25931","at that","point",37
"28249","how much","i",37
"33268","i have","the",37
"34491","the past","few",37
"35197","along the","way",37
"35210","a few","times",37
"35568","we are","all",37
"40466","it is","so",37
"44129","he wants","to",37
"51339","going to","the",37
"58054","told me","to",37
"65531","he is","the",37
"66253","it was","an",37
"66982","wanted to","be",37
"94087","that she","had",37
"1732","to get","my",36
"3996","i think","this",36
"6232","it as","a",36
"7081","at the","beginning",36
"7563","of what","i",36
"7744","of the","night",36
"7945","some of","you",36
"8126","to get","back",36
"8187","a lot","to",36
"8736","part of","this",36
"9402","went to","a",36
"10687","to do","that",36
"12194","was a","great",36
"15928","i try","to",36
"19291","i felt","like",36
"21215","is such","a",36
"21734","i think","we",36
"23621","so it","was",36
"23660","along with","the",36
"23912","but if","you",36
"26960","of the","new",36
"27424","i managed","to",36
"29923","and i","love",36
"32125","and i","know",36
"36223","i dont","like",36
"36952","was just","a",36
"37570","even though","i",36
"38282","you know","what",36
"41064","the power","of",36
"42433","i was","the",36
"42547","a chance","to",36
"59717","me that","i",36
"62067","i knew","i",36
"72928","went back","to",36
"74203","so much","more",36
"79508","to be","more",36
"84260","and you","can",36
"88165","it would","have",36
"89360","all of","us",36
"97429","to the","top",36
"129156","me to","the",36
"1559","and all","of",35
"1915","members of","the",35
"4958","he was","the",35
"5139","there is","nothing",35
"7010","it and","i",35
"10205","i was","on",35
"10336","in my","head",35
"11229","for him","to",35
"12061","it looks","like",35
"12876","dont know","why",35
"14131","fact that","i",35
"14740","in my","opinion",35
"15101","to tell","me",35
"16802","what i","am",35
"17806","i picked","up",35
"18538","should not","be",35
"21188","and i","just",35
"22713","you can","do",35
"23072","just a","few",35
"28983","in fact","i",35
"30674","but there","is",35
"34432","up with","the",35
"34598","in the","face",35
"34722","any of","the",35
"42588","to see","a",35
"45599","i took","a",35
"65415","it has","a",35
"77321","the majority","of",35
"80415","all sorts","of",35
"88405","the size","of",35
"97691","in high","school",35
"109586","and have","a",35
"110755","to do","is",35
"112133","he did","not",35
"113725","out of","a",35
"1135","there is","an",34
"1639","the story","is",34
"2255","that you","are",34
"2386","i made","a",34
"3145","what i","had",34
"4095","the whole","thing",34
"5489","feel like","i",34
"7479","the side","of",34
"11809","i was","doing",34
"13050","the one","that",34
"16865","that i","didnt",34
"19048","because they","are",34
"19100","lot of","people",34
"20687","that i","will",34
"22203","to think","that",34
"23629","on the","first",34
"25480","there are","two",34
"26879","of the","house",34
"28630","we were","in",34
"31096","even if","it",34
"34417","to work","on",34
"34901","it is","an",34
"35635","think about","it",34
"40319","i am","sure",34
"42142","there is","something",34
"47225","the idea","that",34
"51332","tell you","that",34
"58578","i found","myself",34
"62574","to come","to",34
"63210","at that","time",34
"65177","be a","good",34
"70449","all of","you",34
"78997","if i","could",34
"98749","and i","are",34
"107382","quite a","bit",34
"200088","be in","the",34
"981","to see","her",33
"1460","to get","it",33
"2417","what kind","of",33
"3644","but i","know",33
"3702","when they","are",33
"3796","over to","the",33
"4350","was not","a",33
"5452","was a","very",33
"6454","that you","have",33
"6779","so that","i",33
"9845","it is","very",33
"9904","will always","be",33
"11967","in the","next",33
"12629","was going","on",33
"12871","the more","i",33
"14579","couple of","weeks",33
"14956","is supposed","to",33
"15591","that kind","of",33
"18763","that we","were",33
"23218","it turns","out",33
"24568","it may","be",33
"34693","and i","cant",33
"36871","and i","would",33
"45310","that i","did",33
"49536","if i","can",33
"49548","so i","have",33
"50403","i was","just",33
"54832","as i","can",33
"57747","for those","of",33
"63454","and i","can",33
"70878","are so","many",33
"73243","the only","way",33
"84522","the world","and",33
"111668","it was","like",33
"4239","is a","bit",32
"4315","of the","way",32
"4561","on the","back",32
"4729","thank you","for",32
"4904","in the","hospital",32
"5786","i get","to",32
"5802","just have","to",32
"6205","to him","and",32
"6607","i think","of",32
"7341","it was","really",32
"7894","able to","get",32
"11736","went on","to",32
"12147","to pick","up",32
"12631","at this","time",32
"13043","is the","one",32
"14918","a few","more",32
"15171","back to","my",32
"17275","some of","them",32
"17703","a list","of",32
"17820","let go","of",32
"20689","will not","be",32
"22314","we got","to",32
"23884","a year","old",32
"24037","not to","be",32
"26271","i was","still",32
"29694","and we","are",32
"31327","every time","i",32
"33563","and went","to",32
"39823","to help","me",32
"41182","i had","never",32
"42386","for a","couple",32
"44727","the one","who",32
"51770","the heart","of",32
"56396","point of","view",32
"59441","and they","were",32
"62543","i can","remember",32
"70518","would not","be",32
"70889","there are","so",32
"75559","and no","one",32
"88020","would love","to",32
"91112","i am","in",32
"117622","the two","of",32
"122930","i could","have",32
"161066","to go","out",32
"3579","i will","never",31
"5706","on the","same",31
"7977","that we","can",31
"8127","to have","to",31
"8446","didnt have","to",31
"8542","this type","of",31
"9607","i should","have",31
"9681","the face","of",31
"10352","in the","area",31
"11132","she has","a",31
"12300","i had","my",31
"13866","not sure","if",31
"15217","it was","all",31
"16935","i would","love",31
"17492","one thing","that",31
"18317","you can","get",31
"19663","it had","been",31
"21083","first time","in",31
"22309","the time","we",31
"22396","is a","little",31
"22471","they do","not",31
"25194","were in","the",31
"25510","of the","other",31
"30810","we are","going",31
"33465","part of","my",31
"34144","know what","to",31
"34315","that there","was",31
"37475","i was","really",31
"37867","for all","the",31
"38343","if you","havent",31
"41606","you do","not",31
"45611","back into","the",31
"47470","going to","do",31
"48439","i looked","at",31
"49894","is important","to",31
"52213","a ton","of",31
"52267","for the","day",31
"58716","i am","still",31
"65525","seems to","have",31
"69291","all of","my",31
"69925","i was","very",31
"76054","for a","moment",31
"76815","years ago","i",31
"84150","is on","the",31
"85494","it seems","like",31
"86329","the center","of",31
"98574","and i","went",31
"132212","in the","future",31
"1311","he wanted","to",30
"5711","all kinds","of",30
"6573","to the","end",30
"6976","a fan","of",30
"7547","know what","i",30
"7591","that this","was",30
"8848","to give","up",30
"9717","known as","the",30
"11286","in this","way",30
"11980","since i","was",30
"14333","i wonder","if",30
"14738","as one","of",30
"14922","have a","few",30
"15149","just wanted","to",30
"15466","is not","to",30
"15640","i love","you",30
"17606","the other","side",30
"19002","that of","the",30
"19845","a good","thing",30
"20043","not to","mention",30
"23339","they want","to",30
"24287","seem to","have",30
"24806","in a","few",30
"24928","if you","do",30
"25218","i think","he",30
"27546","got to","the",30
"31178","more than","i",30
"33260","come to","the",30
"35813","it or","not",30
"36021","out of","his",30
"36502","the course","of",30
"38402","way to","the",30
"45958","when i","am",30
"46544","and if","you",30
"48623","thought i","would",30
"51430","i dont","feel",30
"53116","for the","past",30
"53918","and im","not",30
"55471","each other","and",30
"55915","what it","was",30
"59800","a few","of",30
"70916","most of","my",30
"87271","want to","see",30
"106454","that he","has",30
"107489","it was","in",30
"131898","when i","first",30
"175887","which is","the",30
"863","that has","been",29
"1007","the door","and",29
"1145","i can","get",29
"1623","want to","get",29
"3060","to me","as",29
"3650","is hard","to",29
"4133","part of","me",29
"4352","and out","of",29
"4830","the problem","is",29
"5521","now that","i",29
"5617","in the","air",29
"8120","have to","get",29
"8217","to be","on",29
"8620","time i","was",29
"10302","to think","of",29
"11403","that she","is",29
"11640","it makes","me",29
"11951","had to","do",29
"12619","he was","going",29
"12942","but im","not",29
"14087","was a","bit",29
"14986","that he","had",29
"15148","i just","wanted",29
"15872","i could","see",29
"15923","and try","to",29
"16235","do not","have",29
"17794","have to","admit",29
"18641","found out","that",29
"18643","i found","out",29
"18770","and then","we",29
"19972","the case","of",29
"20117","im not","going",29
"20912","did not","want",29
"22440","be the","first",29
"23909","to get","up",29
"23981","the first","thing",29
"24569","may be","a",29
"24774","a few","hours",29
"24787","to the","hospital",29
"25044","many of","you",29
"27463","it turned","out",29
"27841","you are","a",29
"28296","a lot","about",29
"28712","had to","go",29
"28970","but there","was",29
"31236","one of","our",29
"31329","i went","back",29
"36214","in our","lives",29
"36724","we do","not",29
"36914","in a","very",29
"40296","it is","important",29
"40612","the son","of",29
"41075","looking at","the",29
"42047","in your","life",29
"42616","is part","of",29
"52127","to be","done",29
"56132","may have","been",29
"61348","of the","movie",29
"65623","i was","at",29
"69689","as i","am",29
"72422","to say","the",29
"72841","live in","a",29
"80210","are in","the",29
"103187","so i","had",29
"123318","to focus","on",29
"129632","what i","do",29
"149395","and i","got",29
"80","looking for","a",28
"2474","was the","best",28
"3730","to be","there",28
"5053","is trying","to",28
"5159","i dont","care",28
"6141","in the","new",28
"6146","the new","york",28
"6508","we dont","have",28
"7133","if you","can",28
"7566","so i","could",28
"9081","no idea","how",28
"9666","the subject","of",28
"9911","but they","are",28
"9966","between the","two",28
"10546","are trying","to",28
"11362","i go","to",28
"11838","but there","are",28
"13237","i took","the",28
"13612","member of","the",28
"15175","get back","to",28
"17055","it on","the",28
"18348","as a","child",28
"18659","most of","them",28
"19308","all of","a",28
"19311","of a","sudden",28
"21172","to the","world",28
"21877","he had","been",28
"22217","a kind","of",28
"22230","they have","a",28
"22639","was that","i",28
"23433","to each","other",28
"24043","you are","not",28
"24776","after a","few",28
"28154","the world","is",28
"29520","and a","lot",28
"30416","with a","lot",28
"31008","at the","bottom",28
"31152","up and","down",28
"31343","i was","told",28
"31763","he was","in",28
"32192","appears to","be",28
"33714","me to","be",28
"34327","with the","same",28
"35374","him in","the",28
"36087","came up","with",28
"36768","i could","be",28
"37569","day of","the",28
"38217","so i","can",28
"38595","a great","deal",28
"40955","first of","all",28
"42762","dont get","me",28
"44130","im pretty","sure",28
"44471","i made","it",28
"44968","to have","been",28
"45552","it is","just",28
"46128","in many","ways",28
"49974","front of","me",28
"51980","i came","to",28
"53840","it is","in",28
"53897","the things","i",28
"59422","is no","longer",28
"60789","the day","before",28
"61158","the first","two",28
"65878","was time","to",28
"69637","be a","part",28
"78351","in the","city",28
"86618","on the","internet",28
"103413","on my","own",28
"126197","they had","to",28
"166291","me if","i",28
"173154","it does","not",28
"1094","the presence","of",27
"1209","and a","little",27
"1469","little bit","of",27
"2120","the chance","to",27
"2332","something that","i",27
"2668","and when","i",27
"3003","think it","is",27
"3110","out to","the",27
"3251","to listen","to",27
"5729","at least","a",27
"6509","with each","other",27
"7767","a time","when",27
"7870","if you","like",27
"9054","now i","have",27
"9256","the right","to",27
"11081","these are","the",27
"12615","we talked","about",27
"13412","for them","to",27
"14217","if i","was",27
"14325","one in","the",27
"15160","i can","say",27
"15904","to go","and",27
"16055","but this","is",27
"18183","he has","been",27
"19293","like i","was",27
"20025","im trying","to",27
"20255","i didnt","even",27
"20441","here in","the",27
"21245","people who","are",27
"22574","focus on","the",27
"23550","those who","have",27
"23754","this would","be",27
"23768","so you","can",27
"23980","out of","it",27
"25225","but i","will",27
"28138","is just","a",27
"34350","last week","i",27
"37294","i dont","really",27
"38174","to see","it",27
"39273","on his","own",27
"39336","they were","all",27
"40022","next to","the",27
"41595","all of","them",27
"43888","few years","ago",27
"44669","what was","going",27
"45846","be one","of",27
"46797","the best","part",27
"48135","it seems","that",27
"49083","they have","to",27
"51149","of this","is",27
"51268","for many","years",27
"53025","there have","been",27
"55455","and i","didnt",27
"56895","as we","were",27
"57058","its time","to",27
"61988","dont think","i",27
"72020","i knew","it",27
"72846","to live","in",27
"73274","so many","things",27
"73954","in one","of",27
"76055","is something","that",27
"76800","i look","at",27
"77953","do you","want",27
"80296","was such","a",27
"84828","when we","got",27
"91205","but i","had",27
"97487","fact that","the",27
"106787","to this","day",27
"115735","but that","is",27
"118149","want to","make",27
"119098","it was","my",27
"133270","it was","very",27
"136029","that can","be",27
"177108","each of","the",27
"149","the quality","of",26
"662","out of","bed",26
"1672","in the","room",26
"2985","parts of","the",26
"4358","in and","out",26
"4527","the life","of",26
"4979","a result","of",26
"5442","and there","were",26
"5692","she is","a",26
"6491","you have","been",26
"7045","to pay","for",26
"7639","the university","of",26
"8575","we all","have",26
"9141","i grew","up",26
"9274","i think","about",26
"9744","was in","a",26
"13247","do you","know",26
"13812","it was","only",26
"13932","i love","it",26
"14186","is all","about",26
"14993","did not","have",26
"15515","dont need","to",26
"15954","him and","he",26
"16120","they have","been",26
"16376","been in","the",26
"16586","there were","a",26
"16883","i got","up",26
"18192","he does","not",26
"18225","the work","of",26
"18530","also has","a",26
"19125","of the","great",26
"19389","more or","less",26
"20559","over the","last",26
"20684","i will","not",26
"21078","not in","the",26
"22416","to get","in",26
"23596","on the","day",26
"23892","on the","ground",26
"24102","to take","care",26
"24894","the book","is",26
"26883","was the","most",26
"28262","because i","am",26
"28430","part of","a",26
"31019","a little","too",26
"31771","the form","of",26
"34275","to the","next",26
"34379","when i","had",26
"34794","and she","is",26
"35674","the truth","is",26
"39279","at the","table",26
"45854","to be","one",26
"46181","a good","idea",26
"46332","and i","could",26
"50172","what they","are",26
"55152","that they","have",26
"57361","because i","dont",26
"62201","a few","things",26
"62365","and lots","of",26
"71375","the parking","lot",26
"71625","it could","be",26
"72947","and i","really",26
"73289","for all","of",26
"73512","you may","be",26
"75769","we could","have",26
"81167","down the","road",26
"90536","think this","is",26
"101722","not have","to",26
"111658","i am","the",26
"111955","will have","a",26
"119255","he had","to",26
"141950","nothing to","do",26
"151099","at me","and",26
"125","i have","not",25
"368","and has","been",25
"518","i saw","the",25
"1275","a look","at",25
"2446","waiting for","the",25
"3573","thought i","was",25
"6472","what you","are",25
"7666","of the","car",25
"8002","i have","found",25
"8089","even if","i",25
"8733","in the","movie",25
"9257","to worry","about",25
"9422","and what","i",25
"10237","if i","didnt",25
"10260","i tend","to",25
"11323","it was","also",25
"12425","and over","again",25
"12609","i dont","remember",25
"13313","they had","a",25
"13550","at the","very",25
"13994","are a","lot",25
"14193","in the","kitchen",25
"14976","more than","just",25
"15638","and at","the",25
"16053","a way","that",25
"18114","with all","of",25
"19657","a good","time",25
"20064","and a","few",25
"20067","here and","there",25
"20670","i am","also",25
